production_id,title,author,translator,publisher,publish_date,price,isbn,original_title,categories,url
10012116312683029478005,暗黑破壞神 2,萩原一至,游若琪,尖端出版,2025-11-14,150,N/A,BASTARD!!,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012116312683029478005
10012011762683030226008,重組世界Rebuild World 10,ナフセ/ 原作; 吟/ 角色原案; わいっしゅ/ 世界觀插畫; cell/ 機械設定; 綾村切人,王志豪,台灣角川股份有限公司,,140,9786264356558,リビルドワールド,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683030226008
10012023942683035943009,莫斯科2160 1,蝸牛くも/ 原作; 神奈月昇/ 角色原案; 関根光太郎,辰岳,青文出版社股份有限公司,2025-11-13,140,9786264364492,モスクワ2160,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012023942683035943009
10012116312683011810004,北斗之拳新裝完全版 10,武論尊/ 原作; 原哲夫,何宜叡,尖端出版,2025-10-17,350,9786264343022,北斗の拳新装版,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012116312683011810004
10012150962683010929004,鬼滅學園! 5,吾峠呼世晴/ 原作; 帆上夏希,林志昌,東立出版社有限公司,2025-10-27,110,9786260249649,キメツ学園!,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012150962683010929004
10012116312683011804003,北斗之拳新裝完全版 14,武論尊/ 原作; 原哲夫,何宜叡,尖端出版,2025-10-17,350,9786264343077,北斗の拳新装版,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012116312683011804003
10012011762683030191009,終幕後的美好旅程 1,リキタケ,吳婕瑄,台灣角川股份有限公司,2025-11-13,150,9786264356435,エンドロールの後には最高の旅を,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012011762683030191009
10012116312683011801002,北斗之拳新裝完全版 11,武論尊/ 原作; 原哲夫,何宜叡,尖端出版,2025-10-17,350,9786264343039,北斗の拳新装版,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012116312683011801002
10012150962682997186004,BLEACH死神愛藏版 11,久保帯人,羅筱君,東立出版社有限公司,2025-10-27,290,9786260255299,BLEACHブリーチ,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012150962682997186004
10012116312683011812008,北斗之拳新裝完全版 18 (完),武論尊/ 原作; 原哲夫,何宜叡,尖端出版,2025-10-17,350,9786264343114,北斗の拳新装版,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012116312683011812008
10012116312683011806007,北斗之拳新裝完全版 12,武論尊/ 原作; 原哲夫,何宜叡,尖端出版,2025-10-17,350,9786264343053,北斗の拳新装版,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012116312683011806007
10012116312683011816006,北斗之拳新裝完全版盒裝套書 10-18 (完/9冊合售),武論尊/ 原作; 原哲夫,何宜叡,尖端出版,2025-10-17,3500,9786264343121,北斗の拳新装版,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012116312683011816006
10012023942683015235001,歡迎光臨流放者食堂! 被最強隊伍放逐的廚師開設了冒險者餐廳! 3,君川優樹/ 原作; つむみ,梁勝哲,青文出版社股份有限公司,2025-10-15,140,9786264362269,追放者食堂へようこそ! 最強パーティーを追放された料理人は、冒険者食堂を開きます!,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012023942683015235001
10012150962682994802006,不死不運 27 (完),戶塚慶文,林志昌,東立出版社有限公司,2025-10-13,110,9786260249397,アンデッドアンラック,中文書 > 📌圖文漫畫85折起 > 日系冒險武俠／熱血運動,https://www.eslite.com/product/10012150962682994802006
10012150962683018436009,BLACK CAT黑貓愛藏版 4 (首刷限定版),矢吹健太朗,叢琳,東立出版社有限公司,2025-11-13,300,9786260242565,BLACK CAT,中文書 > 📌圖文漫畫85折起 > 日系奇幻魔法／科幻冒險,https://www.eslite.com/product/10012150962683018436009
